,0,1
0,197.5,230.0
1,195.5,273.5
2,197.0,316.5
3,205.5,358.5
4,223.0,398.0
5,250.0,431.5
6,280.5,462.5
7,313.0,490.5
8,351.0,501.5
9,391.5,497.5
10,431.5,477.0
11,470.5,451.5
12,506.5,421.5
13,529.5,382.5
14,540.0,338.5
15,547.5,291.5
16,551.5,244.0
17,217.0,178.0
18,241.0,163.5
19,270.5,164.0
20,299.5,171.5
21,325.5,187.0
22,392.0,190.0
23,426.0,178.0
24,460.0,175.5
25,493.5,182.0
26,518.5,201.5
27,357.5,229.0
28,354.5,261.0
29,351.5,293.0
30,348.5,325.5
31,317.0,341.0
32,334.0,347.0
33,351.0,352.5
34,369.5,348.5
35,388.5,346.0
36,246.5,218.0
37,268.0,207.5
38,292.5,211.5
39,311.0,233.0
40,288.5,232.5
41,264.0,229.5
42,410.5,238.5
43,432.5,220.0
44,457.0,220.0
45,479.0,233.5
46,458.0,241.0
47,433.5,241.0
48,287.0,385.0
49,312.0,380.0
50,336.0,376.0
51,352.0,382.0
52,371.5,378.5
53,401.0,385.0
54,432.5,392.0
55,402.0,421.0
56,373.0,433.5
57,352.0,434.0
58,333.0,430.5
59,310.0,414.5
60,296.0,389.0
61,335.0,392.0
62,352.0,395.0
63,371.5,394.5
64,422.5,394.5
65,372.5,411.5
66,352.5,411.0
67,335.0,407.0
68,0.0,0.0
69,399.0,0.0
70,798.0,0.0
71,798.0,532.0
72,798.0,1065.0
73,399.0,1065.0
74,0.0,1065.0
75,0.0,532.0
